company,linkedin_url,time cost,msg,success
Axiom Law,,1654,no available result,false
Emory University Conference Services,,1661,no available result,false
Lucas Systems,https://www.linkedin.com/company/lucas-systems,1669,,true
Manta Digital Media,https://www.linkedin.com/company/manta,1676,,true
MTBC,https://www.linkedin.com/company/mtbc,1683,,true
ZoomInfo,https://www.linkedin.com/company/zoominfo,1690,,true
FLY TO AFRICA PVT LTD. Companies Website,https://www.linkedin.com/company/afrinest,1698,,true
HILTON WORLDWIDE,https://www.linkedin.com/company/hilton-worldwide,1705,,true
NSC Global,https://www.linkedin.com/company/nscglobal,1712,,true
Penn State University,https://www.linkedin.com/school/penn-state-university/,1720,,true
Global Hope Network International,https://www.linkedin.com/company/global-hope-network-international,1728,,true
Retarus. Inc,,1741,no available result,false
Hays Recruiting,https://www.linkedin.com/company/hays/,1748,,true
Phoenix Business Journal,https://www.linkedin.com/company/phoenix-business-journal,1755,,true
Integra Telecom,https://www.linkedin.com/company/integra-telecom,1763,,true
"Suntec Industries, Inc",,1775,no available result,false
"PostBidShip, Inc",https://www.linkedin.com/company/postbidship,1782,,true
Rational Surgical Solutions,,1796,no available result,false
Telaid,https://www.linkedin.com/company/telaid,1804,,true
Fifth Third Bank,https://www.linkedin.com/company/fifth-third-bank,1811,,true
THOMSON REUTERS,https://www.linkedin.com/company/thomson-reuters,1820,,true
Monevo,https://www.linkedin.com/company/monevo,1828,,true
GetInsured,,1842,no available result,false
Evergreen Technologies,https://www.linkedin.com/company/evergreen-technologies-llc,1850,,true
OpenBox Technologies,https://www.linkedin.com/company/openbox-technologies,1859,,true
Baroan Technologies,https://www.linkedin.com/company/baroan-technologies,1871,,true
Aetna,https://www.linkedin.com/company/aetna,1878,,true
ST LEO COLLEGE BOOKSTORE,,1885,no available result,false
BOOKS INTERNATIONAL,https://www.linkedin.com/company/books-international-inc.,1892,,true
BeyondID,https://www.linkedin.com/company/beyondid,1900,,true
COMODO SECURITY GROUP,https://www.linkedin.com/company/comodocybersecurity,1909,,true
Xpress Messaging Solutions,,1917,no available result,false
Southcomm Inc,https://www.linkedin.com/company/southcomm-inc.,1934,,true
Rsystems Inc,https://www.linkedin.com/company/r-systems,1942,,true
Tableau Software,https://www.linkedin.com/company/tableau-software,1951,,true
Joseph Ribkoff,,1964,no available result,false
URBAN RENEWAL POP UP SHOP,,1973,no available result,false
Adknowledge,,1986,no available result,false
"VIVA USA, Inc",https://www.linkedin.com/company/viva-usa-inc,1993,,true
National Informatics Centre,https://www.linkedin.com/company/national-informatics-centre,2002,,true
Astor & Sanders Corporation,https://www.linkedin.com/company/astorglobal,2014,,true
Pyramid Consulting,https://www.linkedin.com/company/pyramid-consulting,2022,,true
Strategic Staffing Solutions,,2031,no available result,false
Real Time Data Services,https://www.linkedin.com/company/real-time-data-services,2039,,true
Robert Monk and Associates,,2046,no available result,false
Artur'In,,2058,no available result,false
Flexera Software,https://www.linkedin.com/company/flexera,2066,,true
NCR,https://www.linkedin.com/company/ncr-corporation,2072,,true
"Butler, Shine, Stern & Partners",https://www.linkedin.com/company/bssp,2080,,true
 Silent Sentinel Inc,,2088,no available result,false
Links,,2095,no available result,false
Chicago Blackhawks,https://www.linkedin.com/company/chicago-blackhawks,2103,,true
Total Voice,https://www.linkedin.com/company/total-voice-technologies,2110,,true
MCI/Verizon,https://www.linkedin.com/company/mic-now-verizon,2118,,true
CEMEX,,2131,no available result,false
Vision Pro/IT,https://www.linkedin.com/company/pro-visionit,2138,,true
Essendant,https://www.linkedin.com/company/essendant,2146,,true
OnX,https://www.linkedin.com/company/onx-enterprise-solutions,2154,,true
Hospira Account,,2163,no available result,false
Praxair,https://www.linkedin.com/company/praxairinc,2171,,true
"Parkeon, Inc dba Flowbird",,2183,no available result,false
Franconnect Inc,https://www.linkedin.com/company/franconnect-usa,2191,,true
Incrementum Technology Services,https://www.linkedin.com/company/incrementum-technology-services,2199,,true
Empoweredxchange,https://www.linkedin.com/company/empowered-xchange,2207,,true
USA-HealthInsurance,,2215,no available result,false
Sofía Estrada García,https://www.linkedin.com/pub/dir/sofia/estrada,2222,,true
Mandarin Oriental Hotel,https://www.linkedin.com/company/mandarin-oriental-hotel-group,2230,,true
Databit Inc,https://www.linkedin.com/company/databit,2240,,true
AIT Resource Group,https://www.linkedin.com/company/ait-resource-group-inc.,2246,,true
AMAI Consulting,https://www.linkedin.com/company/amai-consulting,2254,,true
Rely Services,https://www.linkedin.com/company/rely-services-inc,2262,,true
"Indian Institute of Information Technology, Design and Manufacturing",https://www.linkedin.com/school/indian-institute-of-information-technology-design-&-manufacturing-kancheepuram?pathWildcard=15098639,2269,,true
Salesforce: CloudCraze Ecommerce,,2277,no available result,false
Conzia GmbH,https://www.linkedin.com/company/conzia,2284,,true
COMSTOR,https://www.linkedin.com/company/comstor,2291,,true
Verint Corporation,https://www.linkedin.com/company/next-it,2298,,true
GOVERNMENT SCIENTIFIC SOURCE,https://www.linkedin.com/company/government-scientific-source,2308,,true
"Honda of America Mfg., Inc",https://www.linkedin.com/company/honda-of-america-mfg.-inc.,2315,,true
"KG CONSULTING, LLC",https://www.linkedin.com/company/kg-consulting,2323,,true
WiLAN,https://www.linkedin.com/company/wi-lan,2332,,true
WHR Insurance Advisors,,2340,no available result,false
The Community PhoneBook  ,,2350,no available result,false
Titanhouse,https://www.linkedin.com/company/titanhouse,2357,,true
BAE Systems,https://www.linkedin.com/company/bae-systems,2365,,true
Oracle,https://www.linkedin.com/company/oracle,2372,,true
INTEGRATED TECHNOLOGY GROUP,,2385,no available result,false
CenturyLink/Savvis,,2393,no available result,false
Automotive Training Institute,,2406,no available result,false
"WETEC TECHNOLOGY   CO., LTD",https://www.linkedin.com/company/wetec-pty-ltd,2413,,true
Cornerstone Staffing,https://www.linkedin.com/company/cornerstone-staffing,2423,,true
Market Source Inc,https://www.linkedin.com/company/marketsource-inc,2432,,true
Prince Georges County Public Schools,https://www.linkedin.com/company/pgcps,2438,,true
AIMCO,https://www.linkedin.com/company/automotive-industrial-marketing-corporation-aimco-,2446,,true
COR Communications,https://www.linkedin.com/company/corporate-communications-tas,2454,,true
